Date,Open,High,Low,Close,Volume
28-Feb-18,179.26,180.62,178.05,178.12,37782138
27-Feb-18,179.10,180.48,178.16,178.39,38928125
26-Feb-18,176.35,179.39,176.21,178.97,38162174
23-Feb-18,173.67,175.65,173.54,175.50,33812360
22-Feb-18,171.80,173.95,171.71,172.50,30991940
21-Feb-18,172.83,174.12,171.01,171.07,37471623
20-Feb-18,172.05,174.26,171.42,171.85,33930540
16-Feb-18,172.36,174.82,171.77,172.43,40176091
15-Feb-18,169.79,173.09,169.00,172.99,51147171
14-Feb-18,163.04,167.54,162.88,167.37,40644933
13-Feb-18,161.95,164.75,161.65,164.34,32549163
12-Feb-18,158.50,163.89,157.51,162.71,60819539
